go_id,hpo_id,score
GO:0001313,HP:0000734,0.82
GO:0002313,HP:0000736,0.85
GO:0002313,HP:0000737,0.86
GO:0003313,HP:0000737,0.87
GO:0003313,HP:0000738,0.88
GO:0003313,HP:0000739,0.89
GO:0004313,HP:0000738,0.89
GO:0000314,HP:0000734,0.82
GO:0001314,HP:0000736,0.85
GO:0001314,HP:0000737,0.86
GO:0002314,HP:0000737,0.87
GO:0002314,HP:0000738,0.88
GO:0002314,HP:0000739,0.89
GO:0000315,HP:0000736,0.85
GO:0000315,HP:0000737,0.86
GO:0001315,HP:0000737,0.87
GO:0001315,HP:0000738,0.88
GO:0001315,HP:0000739,0.89
GO:0002315,HP:0000738,0.89
GO:0003315,HP:0000739,0.11
GO:0003315,HP:0000740,0.83
GO:0000316,HP:0000737,0.87
GO:0000316,HP:0000738,0.88
GO:0000316,HP:0000739,0.89
GO:0001316,HP:0000738,0.89
GO:0002316,HP:0000739,0.11
GO:0002316,HP:0000740,0.83
GO:0000318,HP:0000739,0.11
GO:0000318,HP:0000740,0.83
GO:0001318,HP:0000740,0.84
GO:0001318,HP:0000741,0.85
GO:0001318,HP:0000742,0.86
GO:0002318,HP:0000741,0.86
GO:0003318,HP:0000742,0.88
GO:0003318,HP:0000743,0.89
GO:0004318,HP:0000743,0.1
GO:0004318,HP:0000744,0.11
GO:0004318,HP:0000745,0.12
GO:0000319,HP:0000740,0.84
GO:0000319,HP:0000741,0.85
GO:0000319,HP:0000742,0.86
GO:0001319,HP:0000741,0.86
GO:0002319,HP:0000742,0.88
GO:0002319,HP:0000743,0.89
GO:0000321,HP:0000732,0.78
GO:0000321,HP:0000733,0.79
GO:0001321,HP:0000733,0.8
GO:0001321,HP:0000734,0.81
GO:0001321,HP:0000736,0.83
GO:0002321,HP:0000734,0.82
GO:0003321,HP:0000736,0.85
GO:0003321,HP:0000737,0.86
GO:0000322,HP:0000733,0.8
GO:0000322,HP:0000734,0.81
GO:0000322,HP:0000736,0.83
GO:0001322,HP:0000734,0.82
GO:0002322,HP:0000736,0.85
GO:0002322,HP:0000737,0.86
GO:0003322,HP:0000737,0.87
GO:0003322,HP:0000738,0.88
GO:0003322,HP:0000739,0.89
GO:0004322,HP:0000738,0.89
GO:0000325,HP:0000737,0.87
GO:0000325,HP:0000738,0.88
GO:0000325,HP:0000739,0.89
GO:0001325,HP:0000738,0.89
GO:0002325,HP:0000739,0.11
GO:0002325,HP:0000740,0.83
GO:0003325,HP:0000740,0.84
GO:0003325,HP:0000741,0.85
GO:0003325,HP:0000742,0.86
GO:0004325,HP:0000741,0.86
GO:0000370,HP:0000737,0.87
GO:0000370,HP:0000738,0.88
GO:0000370,HP:0000739,0.89
GO:0001370,HP:0000738,0.89
GO:0002370,HP:0000739,0.11
GO:0002370,HP:0000740,0.83
GO:0000439,HP:0000743,0.1
GO:0000439,HP:0000744,0.11
GO:0000439,HP:0000745,0.12
GO:0001439,HP:0000744,0.12
GO:0002439,HP:0000745,0.14
GO:0002439,HP:0000746,0.15
GO:0003439,HP:0000746,0.16
GO:0003439,HP:0000748,0.18
GO:0003439,HP:0000749,0.19
GO:0000324,HP:0000736,0.85
GO:0000324,HP:0000737,0.86
GO:0001324,HP:0000737,0.87
GO:0001324,HP:0000738,0.88
GO:0001324,HP:0000739,0.89
GO:0002324,HP:0000738,0.89
GO:0003324,HP:0000739,0.11
GO:0003324,HP:0000740,0.83
GO:0004324,HP:0000740,0.84
GO:0004324,HP:0000741,0.85
GO:0004324,HP:0000742,0.86
GO:0000256,HP:0000740,0.84
GO:0000256,HP:0000741,0.85
GO:0000256,HP:0000742,0.86
GO:0001256,HP:0000741,0.86
GO:0002256,HP:0000742,0.88
GO:0002256,HP:0000743,0.89
GO:0003256,HP:0000743,0.1
GO:0003256,HP:0000744,0.11
GO:0003256,HP:0000745,0.12
GO:0000329,HP:0000741,0.86
GO:0001329,HP:0000742,0.88
GO:0001329,HP:0000743,0.89
GO:0002329,HP:0000743,0.1
GO:0002329,HP:0000744,0.11
GO:0002329,HP:0000745,0.12
GO:0003329,HP:0000744,0.12
GO:0000342,HP:0000736,0.85
GO:0000342,HP:0000737,0.86
GO:0001342,HP:0000737,0.87
GO:0001342,HP:0000738,0.88
GO:0001342,HP:0000739,0.89
GO:0002342,HP:0000738,0.89
GO:0000348,HP:0000742,0.88
GO:0000348,HP:0000743,0.89
GO:0001348,HP:0000743,0.1
GO:0001348,HP:0000744,0.11
GO:0001348,HP:0000745,0.12
GO:0002348,HP:0000744,0.12
GO:0003348,HP:0000745,0.14
GO:0003348,HP:0000746,0.15
GO:0000414,HP:0000736,0.85
GO:0000414,HP:0000737,0.86
GO:0001414,HP:0000737,0.87
GO:0001414,HP:0000738,0.88
GO:0001414,HP:0000739,0.89
GO:0002414,HP:0000738,0.89
GO:0003414,HP:0000739,0.11
GO:0003414,HP:0000740,0.83
GO:0000427,HP:0000740,0.84
GO:0000427,HP:0000741,0.85
GO:0000427,HP:0000742,0.86
GO:0001427,HP:0000741,0.86
GO:0002427,HP:0000742,0.88
GO:0002427,HP:0000743,0.89
GO:0000275,HP:0000741,0.86
GO:0001275,HP:0000742,0.88
GO:0001275,HP:0000743,0.89
GO:0002275,HP:0000743,0.1
GO:0002275,HP:0000744,0.11
GO:0002275,HP:0000745,0.12
GO:0000330,HP:0000732,0.78
GO:0000330,HP:0000733,0.79
GO:0001330,HP:0000733,0.8
GO:0001330,HP:0000734,0.81
GO:0001330,HP:0000736,0.83
GO:0002330,HP:0000734,0.82
GO:0003330,HP:0000736,0.85
GO:0003330,HP:0000737,0.86
GO:0004330,HP:0000737,0.87
GO:0004330,HP:0000738,0.88
GO:0004330,HP:0000739,0.89
GO:0000331,HP:0000733,0.8
GO:0000331,HP:0000734,0.81
GO:0000331,HP:0000736,0.83
GO:0001331,HP:0000734,0.82
GO:0002331,HP:0000736,0.85
GO:0002331,HP:0000737,0.86
GO:0003331,HP:0000737,0.87
GO:0003331,HP:0000738,0.88
GO:0003331,HP:0000739,0.89
GO:0004331,HP:0000738,0.89
GO:0000200,HP:0000726,0.77
GO:0001200,HP:0000727,0.79
GO:0001200,HP:0000728,0.8
GO:0002200,HP:0000728,0.81
GO:0002200,HP:0000729,0.82
GO:0002200,HP:0000732,0.76
GO:0000201,HP:0000727,0.79
GO:0000201,HP:0000728,0.8
GO:0001201,HP:0000728,0.81
GO:0001201,HP:0000729,0.82
GO:0001201,HP:0000732,0.76
GO:0002201,HP:0000729,0.83
GO:0000334,HP:0000737,0.87
GO:0000334,HP:0000738,0.88
GO:0000334,HP:0000739,0.89
GO:0001334,HP:0000738,0.89
GO:0002334,HP:0000739,0.11
GO:0002334,HP:0000740,0.83
GO:0000340,HP:0000733,0.8
GO:0000340,HP:0000734,0.81
GO:0000340,HP:0000736,0.83
GO:0001340,HP:0000734,0.82
GO:0002340,HP:0000736,0.85
GO:0002340,HP:0000737,0.86
GO:0003340,HP:0000737,0.87
GO:0003340,HP:0000738,0.88
GO:0003340,HP:0000739,0.89
GO:0000261,HP:0000736,0.85
GO:0000261,HP:0000737,0.86
GO:0001261,HP:0000737,0.87
GO:0001261,HP:0000738,0.88
GO:0001261,HP:0000739,0.89
GO:0002261,HP:0000738,0.89
GO:0003261,HP:0000739,0.11
GO:0003261,HP:0000740,0.83
GO:0000349,HP:0000743,0.1
GO:0000349,HP:0000744,0.11
GO:0000349,HP:0000745,0.12
GO:0001349,HP:0000744,0.12
GO:0002349,HP:0000745,0.14
GO:0002349,HP:0000746,0.15
GO:0003349,HP:0000746,0.16
GO:0003349,HP:0000748,0.18
GO:0003349,HP:0000749,0.19
GO:0000264,HP:0000739,0.11
GO:0000264,HP:0000740,0.83
GO:0001264,HP:0000740,0.84
GO:0001264,HP:0000741,0.85
GO:0001264,HP:0000742,0.86
GO:0002264,HP:0000741,0.86
GO:0003264,HP:0000742,0.88
GO:0003264,HP:0000743,0.89
GO:0004264,HP:0000743,0.1
GO:0004264,HP:0000744,0.11
GO:0004264,HP:0000745,0.12
GO:0000265,HP:0000740,0.84
GO:0000265,HP:0000741,0.85
GO:0000265,HP:0000742,0.86
GO:0001265,HP:0000741,0.86
GO:0002265,HP:0000742,0.88
GO:0002265,HP:0000743,0.89
GO:0003265,HP:0000743,0.1
GO:0003265,HP:0000744,0.11
GO:0003265,HP:0000745,0.12
GO:0000214,HP:0000733,0.8
GO:0000214,HP:0000734,0.81
GO:0000214,HP:0000736,0.83
GO:0001214,HP:0000734,0.82
GO:0002214,HP:0000736,0.85
GO:0002214,HP:0000737,0.86
GO:0003214,HP:0000737,0.87
GO:0003214,HP:0000738,0.88
GO:0003214,HP:0000739,0.89
GO:0004214,HP:0000738,0.89
GO:0000336,HP:0000739,0.11
GO:0000336,HP:0000740,0.83
GO:0001336,HP:0000740,0.84
GO:0001336,HP:0000741,0.85
GO:0001336,HP:0000742,0.86
GO:0002336,HP:0000741,0.86
GO:0000343,HP:0000737,0.87
GO:0000343,HP:0000738,0.88
GO:0000343,HP:0000739,0.89
GO:0001343,HP:0000738,0.89
GO:0002343,HP:0000739,0.11
GO:0002343,HP:0000740,0.83
GO:0000282,HP:0000739,0.11
GO:0000282,HP:0000740,0.83
GO:0001282,HP:0000740,0.84
GO:0001282,HP:0000741,0.85
GO:0001282,HP:0000742,0.86
GO:0002282,HP:0000741,0.86
GO:0003282,HP:0000742,0.88
GO:0003282,HP:0000743,0.89
GO:0004282,HP:0000743,0.1
GO:0004282,HP:0000744,0.11
GO:0004282,HP:0000745,0.12
GO:0000337,HP:0000740,0.84
GO:0000337,HP:0000741,0.85
GO:0000337,HP:0000742,0.86
GO:0001337,HP:0000741,0.86
GO:0002337,HP:0000742,0.88
GO:0002337,HP:0000743,0.89
GO:0000412,HP:0000733,0.8
GO:0000412,HP:0000734,0.81
GO:0000412,HP:0000736,0.83
GO:0001412,HP:0000734,0.82
GO:0002412,HP:0000736,0.85
GO:0002412,HP:0000737,0.86
GO:0003412,HP:0000737,0.87
GO:0003412,HP:0000738,0.88
GO:0003412,HP:0000739,0.89
GO:0000346,HP:0000740,0.84
GO:0000346,HP:0000741,0.85
GO:0000346,HP:0000742,0.86
GO:0001346,HP:0000741,0.86
GO:0002346,HP:0000742,0.88
GO:0002346,HP:0000743,0.89
GO:0003346,HP:0000743,0.1
GO:0003346,HP:0000744,0.11
GO:0003346,HP:0000745,0.12
GO:0004346,HP:0000744,0.12
GO:0000416,HP:0000738,0.89
GO:0001416,HP:0000739,0.11
GO:0001416,HP:0000740,0.83
GO:0002416,HP:0000740,0.84
GO:0002416,HP:0000741,0.85
GO:0002416,HP:0000742,0.86
GO:0003416,HP:0000741,0.86
GO:0000425,HP:0000738,0.89
GO:0001425,HP:0000739,0.11
GO:0001425,HP:0000740,0.83
GO:0002425,HP:0000740,0.84
GO:0002425,HP:0000741,0.85
GO:0002425,HP:0000742,0.86
GO:0003425,HP:0000741,0.86
GO:0000270,HP:0000736,0.85
GO:0000270,HP:0000737,0.86
GO:0001270,HP:0000737,0.87
GO:0001270,HP:0000738,0.88
GO:0001270,HP:0000739,0.89
GO:0002270,HP:0000738,0.89
GO:0000198,HP:0000745,0.14
GO:0000198,HP:0000746,0.15
GO:0001198,HP:0000746,0.16
GO:0001198,HP:0000748,0.18
GO:0001198,HP:0000749,0.19
GO:0002198,HP:0000748,0.19
GO:0000248,HP:0000741,0.86
GO:0001248,HP:0000742,0.88
GO:0001248,HP:0000743,0.89
GO:0002248,HP:0000743,0.1
GO:0002248,HP:0000744,0.11
GO:0002248,HP:0000745,0.12
GO:0003248,HP:0000744,0.12
GO:0000372,HP:0000739,0.11
GO:0000372,HP:0000740,0.83
GO:0001372,HP:0000740,0.84
GO:0001372,HP:0000741,0.85
GO:0001372,HP:0000742,0.86
GO:0002372,HP:0000741,0.86
GO:0000379,HP:0000746,0.16
GO:0000379,HP:0000748,0.18
GO:0000379,HP:0000749,0.19
GO:0001379,HP:0000748,0.19
GO:0002379,HP:0000749,0.21
GO:0002379,HP:0000750,0.13
GO:0000375,HP:0000742,0.88
GO:0000375,HP:0000743,0.89
GO:0001375,HP:0000743,0.1
GO:0001375,HP:0000744,0.11
GO:0001375,HP:0000745,0.12
GO:0002375,HP:0000744,0.12
GO:0000539,HP:0000744,0.12
GO:0001539,HP:0000745,0.14
GO:0001539,HP:0000746,0.15
GO:0002539,HP:0000746,0.16
GO:0002539,HP:0000748,0.18
GO:0002539,HP:0000749,0.19
GO:0003539,HP:0000748,0.19
GO:0000542,HP:0000738,0.89
GO:0001542,HP:0000739,0.11
GO:0001542,HP:0000740,0.83
GO:0002542,HP:0000740,0.84
GO:0002542,HP:0000741,0.85
GO:0002542,HP:0000742,0.86
GO:0003542,HP:0000741,0.86
GO:0000544,HP:0000740,0.84
GO:0000544,HP:0000741,0.85
GO:0000544,HP:0000742,0.86
GO:0001544,HP:0000741,0.86
GO:0002544,HP:0000742,0.88
GO:0002544,HP:0000743,0.89
GO:0003544,HP:0000743,0.1
GO:0003544,HP:0000744,0.11
GO:0003544,HP:0000745,0.12
GO:0004544,HP:0000744,0.12
GO:0000546,HP:0000742,0.88
GO:0000546,HP:0000743,0.89
GO:0001546,HP:0000743,0.1
GO:0001546,HP:0000744,0.11
GO:0001546,HP:0000745,0.12
GO:0002546,HP:0000744,0.12
GO:0000547,HP:0000743,0.1
GO:0000547,HP:0000744,0.11
GO:0000547,HP:0000745,0.12
GO:0001547,HP:0000744,0.12
GO:0002547,HP:0000745,0.14
GO:0002547,HP:0000746,0.15
GO:0000548,HP:0000744,0.12
GO:0001548,HP:0000745,0.14
GO:0001548,HP:0000746,0.15
GO:0002548,HP:0000746,0.16
GO:0002548,HP:0000748,0.18
GO:0002548,HP:0000749,0.19
GO:0000492,HP:0000742,0.88
GO:0000492,HP:0000743,0.89
GO:0001492,HP:0000743,0.1
GO:0001492,HP:0000744,0.11
GO:0001492,HP:0000745,0.12
GO:0002492,HP:0000744,0.12
GO:0003492,HP:0000745,0.14
GO:0003492,HP:0000746,0.15
GO:0004492,HP:0000746,0.16
GO:0004492,HP:0000748,0.18
GO:0004492,HP:0000749,0.19
GO:0000493,HP:0000743,0.1
GO:0000493,HP:0000744,0.11
GO:0000493,HP:0000745,0.12
GO:0001493,HP:0000744,0.12
GO:0002493,HP:0000745,0.14
GO:0002493,HP:0000746,0.15
GO:0003493,HP:0000746,0.16
GO:0003493,HP:0000748,0.18
GO:0003493,HP:0000749,0.19
GO:0000567,HP:0000745,0.14
GO:0000567,HP:0000746,0.15
GO:0001567,HP:0000746,0.16
GO:0001567,HP:0000748,0.18
GO:0001567,HP:0000749,0.19
GO:0002567,HP:0000748,0.19
GO:0000568,HP:0000746,0.16
GO:0000568,HP:0000748,0.18
GO:0000568,HP:0000749,0.19
GO:0001568,HP:0000748,0.19
GO:0002568,HP:0000749,0.21
GO:0002568,HP:0000750,0.13
GO:0000570,HP:0000739,0.11
GO:0000570,HP:0000740,0.83
GO:0001570,HP:0000740,0.84
GO:0001570,HP:0000741,0.85
GO:0001570,HP:0000742,0.86
GO:0002570,HP:0000741,0.86
GO:0000395,HP:0000744,0.12
GO:0001395,HP:0000745,0.14
GO:0001395,HP:0000746,0.15
GO:0002395,HP:0000746,0.16
GO:0002395,HP:0000748,0.18
GO:0002395,HP:0000749,0.19
GO:0003395,HP:0000748,0.19
GO:0000333,HP:0000736,0.85
GO:0000333,HP:0000737,0.86
GO:0001333,HP:0000737,0.87
GO:0001333,HP:0000738,0.88
GO:0001333,HP:0000739,0.89
GO:0002333,HP:0000738,0.89
GO:0003333,HP:0000739,0.11
GO:0003333,HP:0000740,0.83
GO:0004333,HP:0000740,0.84
GO:0004333,HP:0000741,0.85
GO:0004333,HP:0000742,0.86
GO:0000338,HP:0000741,0.86
GO:0001338,HP:0000742,0.88
GO:0001338,HP:0000743,0.89
GO:0002338,HP:0000743,0.1
GO:0002338,HP:0000744,0.11
GO:0002338,HP:0000745,0.12
GO:0000386,HP:0000744,0.12
GO:0001386,HP:0000745,0.14
GO:0001386,HP:0000746,0.15
GO:0002386,HP:0000746,0.16
GO:0002386,HP:0000748,0.18
GO:0002386,HP:0000749,0.19
GO:0003386,HP:0000748,0.19
GO:0004386,HP:0000749,0.21
GO:0004386,HP:0000750,0.13
GO:0000250,HP:0000733,0.8
GO:0000250,HP:0000734,0.81
GO:0000250,HP:0000736,0.83
GO:0001250,HP:0000734,0.82
GO:0002250,HP:0000736,0.85
GO:0002250,HP:0000737,0.86
GO:0003250,HP:0000737,0.87
GO:0003250,HP:0000738,0.88
GO:0003250,HP:0000739,0.89
