gene_symbol,go_id
ADAM22,GO:0002375
ADAM9,GO:0000332
ADAM9,GO:0001332
ADAM9,GO:0002332
ADAMTS10,GO:0000539
ADAMTS10,GO:0001539
ADAMTS10,GO:0002539
ADAMTS10,GO:0003539
ADAMTS13,GO:0000542
ADAMTS13,GO:0001542
ADAMTS13,GO:0002542
ADAMTS13,GO:0003542
ADAMTS15,GO:0000544
ADAMTS15,GO:0001544
ADAMTS15,GO:0002544
ADAMTS15,GO:0003544
ADAMTS15,GO:0004544
ADAMTS17,GO:0000546
ADAMTS17,GO:0001546
ADAMTS17,GO:0002546
ADAMTS18,GO:0000547
ADAMTS18,GO:0001547
ADAMTS18,GO:0002547
ADAMTS19,GO:0000548
ADAMTS19,GO:0001548
ADAMTS19,GO:0002548
ADAMTS2,GO:0000492
ADAMTS2,GO:0001492
ADAMTS2,GO:0002492
ADAMTS2,GO:0003492
ADAMTS2,GO:0004492
ADAMTS3,GO:0000493
ADAMTS3,GO:0001493
ADAMTS3,GO:0002493
ADAMTS3,GO:0003493
ADAMTSL1,GO:0000567
ADAMTSL1,GO:0001567
ADAMTSL1,GO:0002567
ADAMTSL2,GO:0000568
ADAMTSL2,GO:0001568
ADAMTSL2,GO:0002568
ADAMTSL4,GO:0000570
ADAMTSL4,GO:0001570
ADAMTSL4,GO:0002570
ADAR,GO:0000280
ADAR,GO:0001280
ADAR,GO:0002280
ADAR,GO:0003280
ADARB1,GO:0000395
ADARB1,GO:0001395
ADARB1,GO:0002395
ADARB1,GO:0003395
ADAT3,GO:0000333
ADAT3,GO:0001333
ADAT3,GO:0002333
ADAT3,GO:0003333
ADAT3,GO:0004333
ADCY1,GO:0000338
ADCY1,GO:0001338
ADCY1,GO:0002338
ADCY10,GO:0000386
ADCY10,GO:0001386
ADCY10,GO:0002386
ADCY10,GO:0003386
ADCY10,GO:0004386
ADCY3,GO:0000340
ADCY3,GO:0001340
ADCY3,GO:0002340
ADCY3,GO:0003340
ADCY5,GO:0000342
ADCY5,GO:0001342
ADCY5,GO:0002342
ADCY6,GO:0000343
ADCY6,GO:0001343
ADCY6,GO:0002343
ADD1,GO:0000250
ADD1,GO:0001250
ADD1,GO:0002250
ADD1,GO:0003250
